S_number,Brand,Model,Variant,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,paint_color,condition,Brand_id,Model_id,Fuel_Type_id,Transmission_id,Owner_Type_id,paint_color_id
0,Maruti,Wagon R,LXI CNG Option     ,Mumbai,2010,72000,CNG,Manual,First,27,998,58,5,,175000,blue,,18,189,0,1,0,1
1,Hyundai,Creta,1.6 CRDi SX Option    ,Pune,2015,41000,Diesel,Manual,First,20,1582,126,5,,1250000,blue,,10,53,1,1,0,1
2,Honda,Jazz,V       ,Chennai,2011,46000,Petrol,Manual,First,18,1199,89,5,8.61 Lakh,450000,blue,excellent,9,99,4,1,0,1
3,Maruti,Ertiga,VDI       ,Chennai,2012,87000,Diesel,Manual,First,21,1248,89,7,,600000,orange,,18,69,1,1,0,6
4,Audi,A4,New 2 TDI Multitronic    ,Coimbatore,2013,40670,Diesel,Automatic,Second,15,1968,141,5,,1773999,,,1,10,1,0,2,-1
5,Hyundai,EON,LPG Era Plus Option    ,Hyderabad,2012,75000,LPG,Manual,First,21,814,55,5,,235000,,,10,61,3,1,0,-1
6,Nissan,Micra,Diesel XV      ,Jaipur,2013,86999,Diesel,Manual,First,23,1461,63,5,,350000,black,,22,113,1,1,0,0
7,Toyota,Innova,Crysta 2.8 GX AT 8S   ,Mumbai,2016,36000,Diesel,Automatic,First,11,2755,172,8,21 Lakh,1750000,silver,,28,98,1,0,0,9
8,Volkswagen,Vento,Diesel Comfortline      ,Pune,2013,64430,Diesel,Manual,First,21,1598,104,5,,520000,black,,29,181,1,1,0,0
9,Tata,Indica,Vista Quadrajet LS     ,Chennai,2012,65932,Diesel,Manual,Second,22,1248,74,5,,195000,black,,27,96,1,1,2,0
10,Maruti,Ciaz,Zeta       ,Kochi,2018,25692,Petrol,Manual,First,22,1462,103,5,10.65 Lakh,994999,red,,18,43,4,1,0,8
11,Honda,City,1.5 V AT Sunroof    ,Kolkata,2012,60000,Petrol,Automatic,First,17,1497,116,5,,449000,black,,9,44,4,0,0,0
12,Maruti,Swift,VDI BSIV      ,Jaipur,2015,64424,Diesel,Manual,First,25,1248,74,5,,560000,,,18,169,1,1,0,-1
13,Land,Rover,Range Rover 2.2L Pure    ,Delhi,2014,72000,Diesel,Automatic,First,13,2179,188,5,,2700000,white,excellent,16,146,1,0,0,10
14,Land,Rover,Freelander 2 TD4 SE    ,Pune,2012,85000,Diesel,Automatic,Second,8,2179,115,5,,1750000,white,,16,146,1,0,2,10
15,Mitsubishi,Pajero,Sport 4X4      ,Delhi,2014,110000,Diesel,Manual,First,14,2477,176,7,32.01 Lakh,1500000,,,21,126,1,1,0,-1
16,Honda,Amaze,S i-Dtech      ,Kochi,2016,58950,Diesel,Manual,First,26,1498,99,5,,540000,black,,9,16,1,1,0,0
17,Maruti,Swift,DDiS VDI      ,Jaipur,2017,25000,Diesel,Manual,First,28,1248,74,5,,599000,black,,18,169,1,1,0,0
18,Renault,Duster,85PS Diesel RxL Plus    ,Kochi,2014,77469,Diesel,Manual,First,20,1461,84,5,,634000,,,24,57,1,1,0,-1
19,Mercedes-Benz,New,C-Class C 220 CDI BE Avantgare  ,Bangalore,2014,78500,Diesel,Automatic,First,15,2143,168,5,,2800000,blue,,19,118,1,0,0,1
20,BMW,3,Series 320d      ,Kochi,2014,32982,Diesel,Automatic,First,23,1995,190,5,47.87 Lakh,1855000,,,2,2,1,0,0,-1
21,Maruti,S,Cross DDiS 200 Alpha    ,Bangalore,2015,55392,Diesel,Manual,Second,24,1248,89,5,,825000,white,,18,147,1,1,2,10
22,Audi,A6,2011-2015 35 TFSI Technology    ,Mumbai,2015,55985,Petrol,Automatic,First,14,1984,177,5,,2350000,,,1,11,4,0,0,-1
23,Hyundai,i20,1.2 Magna      ,Kolkata,2010,45807,Petrol,Manual,First,19,1197,80,5,,187000,black,good,10,210,4,1,0,0
24,Volkswagen,Vento,Petrol Highline AT     ,Kolkata,2010,33000,Petrol,Automatic,First,14,1598,104,5,,285000,silver,,29,181,4,0,0,9
25,Honda,City,Corporate Edition      ,Mumbai,2012,51920,Petrol,Manual,First,17,1497,116,5,,425000,grey,excellent,9,44,4,1,0,5
26,Nissan,Micra,Diesel XV      ,Hyderabad,2012,54000,Diesel,Manual,First,23,1461,63,5,,425000,white,,22,113,1,1,0,10
27,Maruti,Alto,K10 2010-2014 VXI     ,Hyderabad,2013,54000,Petrol,Manual,Second,21,998,67,5,,275000,white,excellent,18,15,4,1,2,10
28,Honda,WRV,i-VTEC VX      ,Kochi,2018,37430,Petrol,Manual,First,18,1199,89,5,10.57 Lakh,990000,grey,excellent,9,188,4,1,0,5
